uuid,nombre,apellido,genero,email,telefono,ciudad,pais,codigo_postal,fecha_nacimiento,edad,foto_url,fecha_registro_api,segmento_edad,fecha_procesamiento
172c3bfc-9eee-4ae4-b673-fdc1c8ee85a5,Amélie,Lacroix,female,amelie.lacroix@example.com,03-98-53-63-13,Versailles,France,61555,1988-05-10,38,https://randomuser.me/api/portraits/women/74.jpg,2004-05-08,Adulto,2026-06-22 21:40:40
1acb4cb8-1ae7-4088-9f06-de97842c6218,Harry,Stephens,male,harry.stephens@example.com,(939) 374-4490,Madison,United States,26526,1964-12-31,61,https://randomuser.me/api/portraits/men/50.jpg,2021-05-06,Maduro,2026-06-22 21:40:40
734185f8-f5e2-4c67-af1a-c0179279349e,Same,Gilbert,male,same.gilbert@example.com,08-4620-3571,Dubbo,Australia,4033,1955-04-24,71,https://randomuser.me/api/portraits/men/38.jpg,2010-11-07,Senior,2026-06-22 21:40:40
f00700d4-1635-4426-aed8-87b5287366e6,پارمیس,یاسمی,female,prmys.ysmy@example.com,047-70570101,قم,Iran,63580,1997-06-06,29,https://randomuser.me/api/portraits/women/14.jpg,2018-07-18,Adulto,2026-06-22 21:40:40
068b2f8b-4d7f-4d96-aaf9-39469edfc9ba,Keira,Taylor,female,keira.taylor@example.com,(639)-110-7246,Tauranga,New Zealand,71501,1971-02-07,55,https://randomuser.me/api/portraits/women/86.jpg,2003-03-07,Maduro,2026-06-22 21:40:40
909f1b65-2cf9-4cec-a7bc-18b0201c2bf8,Celina,Bolte,female,celina.bolte@example.com,(0728) 568915,Kesselt,Netherlands,3361 WR,1972-02-07,54,https://randomuser.me/api/portraits/women/62.jpg,2016-08-09,Maduro,2026-06-22 21:40:40
c2ca8b17-14c9-4a0a-aa4a-429ef270eb5f,Isabelle,Walker,female,isabelle.walker@example.com,(851)-933-7619,Palmerston North,New Zealand,27389,1981-09-06,44,https://randomuser.me/api/portraits/women/49.jpg,2005-03-07,Adulto,2026-06-22 21:40:40
1b37a130-8375-435d-b921-6cb062d9a48d,Esfir,Dikun,female,esfir.dikun@example.com,(098) O38-1809,Antracit,Ukraine,44954,1957-12-20,68,https://randomuser.me/api/portraits/women/51.jpg,2011-02-27,Senior,2026-06-22 21:40:40
2dad77ba-34d3-4dca-8bc4-d8ace29fd019,Jar,Owens,male,jar.owens@example.com,015396 99475,Liverpool,United Kingdom,Y5R 7PE,1995-06-30,30,https://randomuser.me/api/portraits/men/88.jpg,2019-09-27,Adulto,2026-06-22 21:40:40
1aab2295-4d65-4a3e-acd7-c62209b32601,Slavko,Bajević,male,slavko.bajevic@example.com,016-6849-924,Irig,Serbia,12051,1959-01-27,67,https://randomuser.me/api/portraits/men/7.jpg,2012-11-21,Senior,2026-06-22 21:40:40
